month;year;precipitation;atmospheric_demand
1;1901;52.60000229;24.00000036
2;1901;43.79999924;24.00000036
3;1901;70.80000305;48.00000072
4;1901;76.80000305;102.0000029
5;1901;46.20000076;129.0000057
6;1901;80.70000458;167.9999971
7;1901;94;180
8;1901;44.29999924;150
9;1901;136.4000092;90
10;1901;89.90000153;45
11;1901;36.90000153;18.00000072
12;1901;56.40000153;3.000000045
1;1902;10.69999981;27.00000107
2;1902;57.29999924;41.99999928
3;1902;26;72.00000286
4;1902;104.4000015;93.00000429
5;1902;88.59999847;111.0000014
6;1902;88.80000305;147.0000029
7;1902;42.20000076;182.9999971
8;1902;106.7000046;156.0000086
9;1902;52.60000229;102.0000029
10;1902;35.29999924;60
11;1902;104.0999985;33.00000072
12;1902;87.90000153;20.99999964
1;1903;99.30000305;27.00000107
2;1903;12.60000038;45
3;1903;59.79999924;72.00000286
4;1903;46;93.00000429
5;1903;72.90000153;120
6;1903;97.80000305;144.0000057
7;1903;23.20000076;171.0000086
8;1903;28.70000076;144.0000057
9;1903;66.09999847;102.0000029
10;1903;39.5;60
11;1903;40.29999924;33.00000072
12;1903;104.5;20.99999964
1;1904;84.80000305;24.00000036
2;1904;44;41.99999928
3;1904;62.70000076;68.99999857
4;1904;42.60000229;96.00000143
5;1904;33;122.9999971
6;1904;109.4000015;156.0000086
7;1904;11.60000038;180
8;1904;32.79999924;152.9999971
9;1904;52.40000153;102.0000029
10;1904;29.39999962;66.00000143
11;1904;44.90000153;33.00000072
12;1904;41.40000153;20.99999964
1;1905;72.09999847;24.00000036
2;1905;15.5;41.99999928
3;1905;27.60000038;68.99999857
4;1905;46.5;96.00000143
5;1905;81.40000153;113.9999986
6;1905;81.30000305;150
7;1905;46.70000076;189.0000057
8;1905;55.60000229;150
9;1905;106.9000015;102.0000029
10;1905;40.5;56.99999928
11;1905;136.5;33.00000072
12;1905;30;24.00000036
1;1906;38.60000229;24.00000036
2;1906;58.20000076;39.00000215
3;1906;72.5;66.00000143
4;1906;121.0999985;87.00000286
5;1906;31.30000114;122.9999971
6;1906;21.10000038;152.9999971
7;1906;61.10000229;177.0000029
8;1906;5.900000095;165
9;1906;41.70000076;111.0000014
10;1906;77;63.00000429
11;1906;52.40000153;33.00000072
12;1906;126.5999985;20.99999964
1;1907;45.29999924;20.99999964
2;1907;34.20000076;36.00000143
3;1907;15.80000019;72.00000286
4;1907;67.5;87.00000286
5;1907;89.09999847;117.0000029
6;1907;39.5;147.0000029
